,,,,,,,
Module Code,Quản lí cán bộ,,,,,,
Test requirement,"1. Tìm kiếm cán bộ.
2. Thêm cán bộ
FUNC-SuaCB-28,Xóa toàn bộ dữ liệu đã nhập vào.,"Tại màn hình Sửa cán bộ:
1. Nhập vào các dữ liệu được yêu cầu trong form.
2. Nhấn [Reset]button.","Hiển thị màn hình Sửa cán bộ với form còn trống.
Trỏ chuột tại [Tên cán bộ] textbox.",,,,
FUNC-SuaCB-29,Hủy việc sửa cán bộ.,"Tại màn hình Sửa cán bộ:
Nhấn[ Hủy] Button.",Hiển thị màn hình Danh sách cán bộ.,,,,
,Function: Xóa cán bộ,,,,,,
,Check-GUI-Xóa cán bộ,,,,,,
GUI-XoaCB-01,[OK] Button,,Status = enable,,,,
GUI-XóaCB-02,[Cancel]Button,,Status = enable,,,,
,Check-FUNC-Xóa cán bộ,,,,,,
FUNC-XoaCB-01,Mở thành công màn hình Xác nhận xóa,Tại màn hình Danh sách cán bộ: Click [Xóa] ngay tại cán bộ muốn xóa.,Hiển thị màn hình Xác nhận xóa.,,,,
FUNC-XoaCB-02,Xóa thành công cán bộ.,"Tại màn hình Xác nhận xóa: 
Click [OK]Button.","Hiển thị thông báo: ""Xóa thành công!""",,,,
FUNC-XoaCB-03,Xóa không thành công.,"Tại màn hình Xác nhận xóa:
Trường hợp connect database lỗi
Click [OK]Button.","Hiển thị thông báo: ""Xóa không thành công!'",,,,
FUNC-XoaCB-04,Hủy việc xóa cán bộ.,"Tại màn hình Xác nhận xóa:
Click [Cancel]Button.",Hiển thị màn hình Danh sách cán bộ.,,,,
